No.168 รายงานผล,Lab Code,รายงานผล,RBC,WBC,PLT,Hb,Hct,MCV,MCH,MCHC,Unnamed: 11,RBC.1,WBC.1,PLT.1,Hb.1,Hct.1,MCV.1,MCH.1,MCHC.1,Unnamed: 20,Brand_N,Brand_N.1,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
359,00359,R,2.15,1.48,57,5.3,16.3,75.7,24.7,32.6,,5.23,18.85,570,15.3,45.9,87.8,29.3,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,สไลด์สเมียร์ C168 การติดสีแกรนูลของ Eosinophil ออกสีม่วงๆมากกว่าสีส้ม อยากให้ปรับปรุงการย้อมสีนิดนึงครับ ขอบคุณครับ,,,HM 1113,GNPH
373,00373,R,2.15,1.37,61,5.2,16.1,74.9,24.2,32.3,,5.31,18.91,576,15.3,46.2,87,28.8,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3100,14 พฤษภาคม 2568,,,,HM 103,PHGH
395,00395,R,2.24,1.22,69,5.4,16.6,74.1,24.1,32.5,,5.36,,578,15.4,46.1,86,28.7,33.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1012,GNPH
397,00397,R,2.21,0.59,54,5.4,16.5,74.7,24.4,32.7,,5.3,19.11,572,15.4,45.8,85.9,28.9,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1109,GNPH
400,00400,R,2.22,1.43,73,5.5,17,76.6,24.8,32.4,,5.25,19.18,584,15.5,46.6,88.8,29.5,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,ไม่สามารถเข้าสู่ระบบสไลด์ดิจิทัลได้,,,HM 699,GNPH
402,00402,R,2.22,1.46,59,5.5,17.3,77.9,24.8,31.8,,4.99,17.95,585,15.3,,104.8,30.7,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 630,PHCH
403,00403,R,2.2,1.33,54,5.3,16.4,74.5,24.1,32.3,,5.28,,567,15.3,45.6,86.4,29,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 1973,DMS
405,00405,R,2.21,1.51,60,5.4,16.4,74.2,24.4,32.9,,5.28,19.13,581,15.4,45.5,86.2,29.2,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 122,PHGH
406,00406,R,2.15,0.62,,5.4,22.6,,25.1,23.9,,5.26,19.66,578,15.7,45.3,86.1,29.8,34.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,21 พฤษภาคม 2568,,,,HM 7,DMS
407,00407,R,2.16,1.3,63,5.4,16.7,77.3,25,32.3,,5.21,,561,15.3,46.4,89.1,29.4,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,ติดปัญหาในส่วนของการประเมินด้วยสไลด์ดิจิตอล คือไม่สามารถเข้าสู่หน้าเว็บได้,,,HM 91,PHRH
409,00409,R,2.18,1.57,57,5.3,16.2,74.3,24.3,32.7,,5.32,18.92,564,15.3,45.6,85.7,28.8,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 766,NGPH
410,00410,R,2.21,1.51,68,5.4,16.4,74.2,24.4,32.9,,4.74,17.53,572,15.5,48.6,102.5,32.7,31.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1473,NGPH
412,00412,R,2.17,1.43,58,5.4,16.5,76,24.9,32.7,,5.21,19.23,572,15.4,45.9,88.1,29.6,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 781,NGPH
422,00422,R,2.2,1.47,57,5.4,16.1,73.2,24.5,33.5,,5.3,19.76,580,15.5,45.5,85.8,29.2,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 467,PHCH
440,00440,R,2.23,1.49,57,5.4,16.5,74,24.1,32.7,,5.25,18.55,570,15.2,45.2,86,28.9,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 805,NGPH
442,00442,R,2.16,1.3,59,5.3,16.2,75,24.5,32.7,,5.22,,563,15.2,44.8,85.8,29.1,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1356,NGPH
443,00443,R,2.2,1.36,62,5.5,16.5,75,25,33.3,,5.26,19.04,561,15.5,46,87.5,29.5,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 772,NGPH
444,00444,R,2.14,1.45,60,5.3,16,74.8,24.8,33.1,,5.25,19.41,565,15.2,45.2,86.1,29,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1193,NGPH
447,00448,R,2.09,0.62,74,5.4,21.9,,25.8,24.7,,5.3,18.66,544,15.5,46.2,87.2,29.2,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,21 พฤษภาคม 2568,,,,HM 855,NGPH
450,00451,R,2.2,1.46,63,5.5,16.4,74.5,24.9,33.5,,5.28,19.28,567,15.6,45.6,86.4,29.5,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,สไลด์เสมียร์เลือดย้อมสี หมายเลข C มีรอยขีด ทำให้ดูยาก,,,HM 1143,NGPH
452,00453,R,,,,,,,,,,,,,,,,,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,รายงานผลสลับตัวอย่าง A กับ B,,HM 738,NGPH
453,00454,R,2.2,1.51,61,5.3,16.2,73.6,24.1,32.7,,5.27,19.12,562,15.5,45.8,86.9,29.4,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN9000,14 พฤษภาคม 2568,,,,HM 716,GNPH
463,00464,R,2.17,0.69,57,5.3,16.7,77,24.4,31.7,,4.28,18.5,585,15.2,45.1,,33.5,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 732,NGPH
500,00501,R,2.17,1.51,64,5.4,16.5,76,24.9,32.7,,5.27,19.05,586,15.6,46.2,87.7,29.6,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 792,NGPH
503,00504,R,2.2,1.56,62,5.3,16.5,75,24.1,32.1,,4.54,17.84,592,15.1,48.5,,33.3,31.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 922,PHRH
504,00505,R,2.19,1.46,60,5.4,16.5,75.3,24.7,32.7,,5.16,17.99,559,15.4,44.8,86.8,29.8,34.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1948,PHRH
507,00508,R,2.19,1.46,67,5.5,16.3,74.4,25.1,33.7,,5.26,18.52,588,15.5,45.8,87.1,29.5,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1271,GNPH
508,00509,R,2.16,1.46,66,5.3,16.4,75.9,24.5,32.3,,5.18,19.4,586,15.2,45.6,88,29.3,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 33,DH
510,00511,R,2.17,1.44,58,5.3,15.9,73.3,24.4,33.3,,4.2,17.55,561,15.3,44.7,,36.4,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 871,NGPH
511,00512,R,2.22,1.44,58,5.4,16.6,74.8,24.3,32.5,,5.36,19.09,572,15.5,46.5,86.8,28.9,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 57,PHRH
512,00513,R,2.21,1.43,,5.4,,,24.4,,,5.35,18.64,581,15.5,47.1,88,29,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 48,PHRH
514,00515,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.37,18.8,595,15.7,47.2,87.9,29.2,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 328,PHCH
516,00517,R,2.13,1.32,84,5.4,21.8,,25.4,24.8,,5.25,19.41,550,15.3,45.9,87.4,29.1,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 757,NGPH
519,00520,R,2.22,1.47,53,5.5,17.2,77.5,24.8,32,,5.2,18.99,552,15.5,45.9,88.4,29.8,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1324,NGPH
523,00524,R,2.23,1.42,62,5.4,16.6,74.4,24.2,32.5,,5.21,18.76,581,15.4,44.9,86.2,29.6,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 56,PHRH
524,00525,R,2.17,1.4,57,5.4,16.7,77,24.9,32.3,,5.2,18.94,571,15.5,46.2,88.8,29.8,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 895,NGPH
525,00526,R,2.15,1.59,58,5.3,16.4,76.3,24.7,32.3,,5.16,19.29,579,15.3,45.4,88,29.7,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN9100,21 พฤษภาคม 2568,-,,,HM 779,NGPH
536,00537,R,2.16,0.69,62,5.3,16.5,76.4,24.5,32.1,,5.3,18.6,568,15.4,47,88.7,29.1,32.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 221,PHCH
540,00541,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.19,19.18,587,15.2,44.8,86.3,29.3,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 455,PHCH
582,00583,R,2.13,1.44,59,5.3,16.3,76.5,24.9,32.5,,5.29,18.42,570,15.2,46.9,88.7,28.7,32.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 853,NGPH
586,00587,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.23,18.79,583,15.3,45.7,87.4,29.3,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,A168 สิ่งส่งตรวจ Hemolysis,HM 336,PHCH
587,00588,R,2.25,1.33,50,5.3,16.2,72,23.6,32.7,,5.26,,565,15.1,44.4,84.4,28.7,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 184,PHCH
589,00590,R,2.11,1.61,68,5.2,15.3,72.5,24.6,34,,5.1,18.49,603,15.4,47.3,92.7,30.2,32.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 476,PHCH
591,00592,R,2.19,1.43,64,5.3,16.4,74.9,24.2,32.3,,5.28,16.99,567,15.3,45.7,86.6,29,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 685,PHCH
592,00593,R,2.19,1.48,54,5.4,16.4,75,24.9,33.1,,5.22,19.56,568,15.4,45.2,86.6,29.6,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 498,PHCH
593,00594,R,2.19,1.5,67,5.4,16,73.1,24.7,33.8,,5.37,19.14,589,15.6,45.5,84.7,29.1,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 149,PHCH
597,00598,R,2.17,1.48,55,5.4,16.2,74.7,24.9,33.3,,5.22,19.33,576,15.5,45.4,87,29.7,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1166,PHCH
601,00602,R,2.2,1.4,67,5.4,16.3,74.1,24.5,33.1,,5.32,18.98,590,15.6,45.9,86.3,29.3,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 560,PHCH
603,00604,R,2.18,1.62,60,5.2,16.5,75,23.9,31.5,,5.34,19.56,559,15.2,46.5,87,28.5,32.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1044,NGPH
604,00605,R,2.23,1.51,63,5.4,17.2,77.1,24.2,31.4,,5.36,18.42,571,15.7,47.4,88.4,29.3,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 183,PHCH
606,00607,R,2.17,1.27,59,5.3,15.9,73.3,24.4,33.3,,5.25,,,15.3,44.9,85.5,29.1,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",Sysmex,,XN1000,14 พฤษภาคม 2568,,ใส่หน่วย PLT ผิด,,HM 366,PHCH
610,00611,R,2.18,1.24,61,5.3,16.7,76.6,24.3,31.7,,5.33,19.01,563,15.4,46.8,87.8,28.9,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1283,NGPH
616,00617,R,2.2,1.55,63,5.3,16.8,76.4,24.1,31.5,,4.43,18.56,572,14.8,46.7,,33.4,31.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 346,PHCH
623,00624,R,2.22,0.57,54,5.4,17,76.6,24.3,31.8,,5.35,19.67,574,15.3,47.5,88.8,28.6,32.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 83,PHGH
637,00638,R,2.22,1.57,57,5.4,16.7,75.2,24.3,32.3,,4.34,17.45,560,14.9,46.8,,34.3,31.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 364,PHCH
640,00641,R,2.17,1.4,52,5.3,16.4,75.6,24.4,32.3,,5.3,19,528,15.3,46.3,87.4,28.9,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 368,PHCH
649,00650,R,2.16,0.71,62,5.4,16.2,75,25,33.3,,5.23,18.91,548,15.5,45.6,87.2,29.6,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1130,NGPH
653,00654,R,2.11,1.41,52,5.3,16,75.8,25.1,33.1,,5.32,19.1,573,15.6,46.9,88.2,29.3,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 668,PHCH
661,00662,R,2.11,1.44,76,5.3,21.7,,25.1,24.4,,5.3,19.44,573,15.4,45.9,86.6,29.1,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 796,NGPH
668,00669,R,2.19,1.24,59,5.4,16.6,75.8,24.7,32.5,,5.07,,,15,,104.3,29.6,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1010,GNPH
680,00681,R,2.18,1.49,58,5.3,16.4,75.2,24.3,32.3,,5.34,18.96,575,15,46.1,86.3,28.1,32.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,วัตถุทดสอบ A168 เครื่องไม่สามารถตรวจวิเคราะห์ได้,HM 10,DMS
685,00686,R,2.21,1.41,56,5.5,17,76.9,24.9,32.4,,5.34,19.09,583,15.4,47.4,88.8,28.8,32.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,Slide Blood smear อาจจะย้อม Slide ไว้นานแล้ว จึงทำให้สีค่อนข้างเพี้ยน (ติดสีแดง) ทำให้เห็นสีส่วนประกอบของ WBC ไม่ชัดเจน เช่น Cytoplasm  Nucleus Granule ทำให้นับแยก WBC ได้ยาก ซึ่งอาจจะทำให้เกิดความผิดพลาดในการนับได้,,,HM 1321,GNPH
694,00695,R,2.15,1.59,63,5.3,16.6,77.2,24.7,31.9,,5.26,19,585,15.5,46.7,88.8,29.5,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,-,,,HM 434,PHCH
700,00701,R,2.19,1.44,56,5.4,16.4,74.9,24.7,32.9,,5.25,19.59,572,15.4,45.8,87.2,29.3,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 987,PHCH
720,00721,R,2.27,1.38,63,5.5,16.7,73.6,24.2,32.9,,5.28,,570,15.3,45.1,85.4,29,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 793,NGPH
736,00737,R,2.19,1.5,64,5.4,16.5,75.3,24.7,32.7,,5.29,19.41,587,15.4,46.5,87.9,29.1,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1986,NGPH
